rows,cols,vehicles,hub_ratio,variance,method,iteration,best_fitness
8,8,20,0.0,0.5,ga,2,263317.5019
8,8,20,0.0,0.5,ga,3,262950.3767
8,8,20,0.0,0.5,ga,4,262950.3767
8,8,20,0.0,0.5,ga,5,262950.3767
8,8,20,0.0,0.5,ga,6,262810.7047
8,8,20,0.0,0.5,ga,7,262810.7047
8,8,20,0.0,0.5,ga,8,262810.7047
8,8,20,0.0,0.5,ga,9,262810.7047
8,8,20,0.0,0.5,ga,10,262810.7047
8,8,20,0.0,0.5,ga,11,262810.7047
8,8,20,0.0,0.5,ga,12,262810.7047
8,8,20,0.0,0.5,ga,13,262810.7047
8,8,20,0.0,0.5,ga,14,262810.7047
8,8,20,0.0,0.5,ga,15,262810.7047
8,8,20,0.0,0.5,ga,16,262810.7047
8,8,20,0.0,0.5,ga,17,262810.7047
8,8,20,0.0,0.5,ga,18,262810.7047
8,8,20,0.0,0.5,ga,19,262810.7047
8,8,20,0.0,0.5,ga,20,262810.7047
8,8,20,9.0,0.1,qpso,0,208659.1941
8,8,20,9.0,0.1,qpso,1,208659.1941
8,8,20,9.0,0.1,qpso,2,208659.1941
8,8,20,9.0,0.1,qpso,3,208659.1941
8,8,20,9.0,0.1,qpso,4,208659.1941
8,8,20,9.0,0.1,qpso,5,208659.1941
8,8,20,9.0,0.1,qpso,6,208659.1941
8,8,20,9.0,0.1,qpso,7,208659.1941
8,8,20,9.0,0.1,qpso,8,208659.1941
8,8,20,9.0,0.1,qpso,9,208659.1941
8,8,20,9.0,0.1,qpso,10,208659.1941
8,8,20,9.0,0.1,qpso,11,208659.1941
8,8,20,9.0,0.1,qpso,12,208659.1941
8,8,20,9.0,0.1,qpso,13,208659.1941
8,8,20,9.0,0.1,qpso,14,208659.1941
8,8,20,9.0,0.1,qpso,15,208659.1941
8,8,20,9.0,0.1,qpso,16,208659.1941
8,8,20,9.0,0.1,qpso,17,208659.1941
8,8,20,9.0,0.1,qpso,18,208659.1941
8,8,20,9.0,0.1,qpso,19,208659.1941
8,8,20,9.0,0.1,qpso,20,208659.1941
8,8,20,9.0,0.1,pso,0,208659.1941
8,8,20,9.0,0.1,pso,1,208659.1941
8,8,20,9.0,0.1,pso,2,208659.1941
8,8,20,9.0,0.1,pso,3,208659.1941
8,8,20,9.0,0.1,pso,4,208659.1941
8,8,20,9.0,0.1,pso,5,208659.1941
8,8,20,9.0,0.1,pso,6,208659.1941
8,8,20,9.0,0.1,pso,7,208659.1941
8,8,20,9.0,0.1,pso,8,208659.1941
8,8,20,9.0,0.1,pso,9,208659.1941
8,8,20,9.0,0.1,pso,10,208659.1941
8,8,20,9.0,0.1,pso,11,208659.1941
8,8,20,9.0,0.1,pso,12,208659.1941
8,8,20,9.0,0.1,pso,13,208659.1941
8,8,20,9.0,0.1,pso,14,208659.1941
8,8,20,9.0,0.1,pso,15,208659.1941
8,8,20,9.0,0.1,pso,16,208659.1941
8,8,20,9.0,0.1,pso,17,208659.1941
8,8,20,9.0,0.1,pso,18,208659.1941
8,8,20,9.0,0.1,pso,19,208659.1941
8,8,20,9.0,0.1,pso,20,208659.1941
8,8,20,9.0,0.1,ga,0,208659.1941
8,8,20,9.0,0.1,ga,1,208557.7481
8,8,20,9.0,0.1,ga,2,208557.7481
8,8,20,9.0,0.1,ga,3,208557.7481
8,8,20,9.0,0.1,ga,4,208557.7481
